DepartMent,Decade,Gender,Average Salary
Customer Service,2000-2010,F,65948.5421878916
Customer Service,2000-2010,M,65677.6355316896
Development,2000-2010,F,66379.855406581
Development,2000-2010,M,66539.7569469529
Finance,2000-2010,F,77532.4887349416
Finance,2000-2010,M,77449.0064306048
Human Resources,2000-2010,F,62770.5714714715
Human Resources,2000-2010,M,62566.1167605267
Marketing,2000-2010,F,78407.2784174786
Marketing,2000-2010,M,78968.8777298675
Production,2000-2010,F,66550.287863479
Production,2000-2010,M,66710.4275389693
Quality Management,2000-2010,F,64316.669971479
Quality Management,2000-2010,M,64144.6392525764
Research,2000-2010,F,66733.8167545907
Research,2000-2010,M,66672.2395271182
Sales,2000-2010,F,87557.4665089412
Sales,2000-2010,M,87692.6639896268
